SRAacc,SRR,Experiment
SRX5802666,SRR9025118,Basic/Iron
SRX5802667,SRR9025117,Acid/Iron
SRX5802668,SRR9025116,Acid/Iron
SRX5802669,SRR9025115,Acid/Iron
SRX5802670,SRR9025114,Basic/Iron
SRX5802671,SRR9025113,Basic/Iron
SRX5802672,SRR9025112,Basic/Iron
SRX5802673,SRR9025111,Acid/Iron
SRX5802674,SRR9025110,Basic
SRX5802675,SRR9025109,Basic
SRX5802676,SRR9025108,Basic
SRX5802677,SRR9025107,Basic
SRX5802678,SRR9025106,Acid
SRX5802679,SRR9025105,Acid
SRX5802680,SRR9025104,Acid
SRX5802681,SRR9025103,Acid
SRX5802682,SRR9025102,Ancestral
